Film;U.S. release date;Box office gross Domestic (U.S. and Canada );Box office gross Other territories;Box office gross Worldwide;Budget;MCU;Distributor;Minutes;Franchise;Character Family;Rotten Tomatoes Critic Score;Male/Female-led;Year;Inflation Adjusted Worldwide Gross;Inflation Adjusted Budget;Break Even
Superman;15/12/1978;134478449;166000000;300478449;55000000;FAUX;Warner Bros.;143;DC;Superman;94;Male;1978;1404237104;257033544;Success
Superman II;19/06/1981;108185706;108200000;216385706;54000000;FAUX;Warner Bros.;127;DC;Superman;83;Male;1981;725336273;181010842;Success
Superman III;17/06/1983;59950623;20300000;80250623;39000000;FAUX;Warner Bros.;125;DC;Superman;29;Male;1983;245506947;119310861;Flop
Supergirl;21/11/1984;14296438;;14296438;35000000;FAUX;Tri-Star Pictures;124;DC;Superman;8;Female;1984;41926345;102642497;Flop
Howard the Duck;01/08/1986;16295774;21667000;37962774;37000000;FAUX;Universal Pictures;110;Marvel;Howard the Duck;13;Male;1986;37962774;37000000;Flop
Superman IV: The Quest for Peace;24/07/1987;15681020;14600000;30281020;17000000;FAUX;Warner Bros.;90;DC;Superman;10;Male;1987;81220728;45597948;Flop
The Return of Swamp Thing;12/05/1989;192816;82112;274928;3000000;FAUX;Millimeter Films;88;DC;Swamp Thing;44;Male;1989;675573;7371813;Flop
Batman;23/06/1989;251409241;160160000;411569241;35000000;FAUX;Warner Bros.;126;DC;Batman;76;Male;1989;1011337092;86004479;Success
The Punisher;05/10/1989;;30000000;30000000;9000000;FAUX;New World International;89;Marvel;Punisher;25;Male;1989;30000000;9000000;Success
Batman Returns;19/06/1992;162924631;104010057;266934688;80000000;FAUX;Warner Bros.;126;DC;Batman;81;Male;1992;579725033;173742884;Success
Batman: Mask of the Phantasm;25/12/1993;5635204;213000;5848204;5600000;FAUX;Warner Bros.;76;DC;Batman;82;Male;1993;12331882;11808504;Flop
Batman Forever;16/06/1995;184069126;152498032;336567158;100000000;FAUX;Warner Bros.;121;DC;Batman;40;Male;1995;672916968;199935422;Success
Batman & Robin;20/06/1997;107353792;130900196;238253988;125000000;FAUX;Warner Bros.;125;DC;Batman;11;Male;1997;452313815;237306529;Flop
Steel;15/08/1997;1710972;91000;1801972;16000000;FAUX;Warner Bros.;97;DC;Superman;12;Male;1997;3420958;30375236;Flop
Blade;21/08/1998;70087718;61123659;131211377;45000000;FAUX;New Line Cinema;120;Marvel;Blade;58;Male;1998;131211377;45000000;Success
X-Men;14/07/2000;157299718;139039810;296339528;75000000;FAUX;Twentieth Century Fox;104;Marvel;X-Men;82;Male;2000;296339528;75000000;Success
Blade II;22/03/2002;82348319;72661713;155010032;54000000;FAUX;New Line Cinema;117;Marvel;Blade;57;Male;2002;155010032;54000000;Success
Spider-Man;03/05/2002;407022860;418002176;825025036;139000000;FAUX;Sony Pictures Entertainment ;121;Marvel;Spider-Man;90;Male;2002;825025036;139000000;Success
Daredevil;14/02/2003;102543518;76636200;179179718;78000000;FAUX;Twentieth Century Fox;103;Marvel;Daredevil;43;Male;2003;179179718;78000000;Flop
X2;30/04/2003;214949694;192761855;407711549;110000000;FAUX;Twentieth Century Fox;134;Marvel;X-Men;85;Male;2003;407711549;110000000;Success
Hulk;20/06/2003;132177234;113107931;245285165;137000000;FAUX;Universal Pictures;138;Marvel;Hulk;63;Male;2003;245285165;137000000;Flop
The Punisher;16/04/2004;33810189;20889916;54700105;33000000;FAUX;Lions Gate Films;124;Marvel;Punisher;29;Male;2004;54700105;33000000;Flop
Spider-Man 2;30/06/2004;373585825;415390628;788976453;200000000;FAUX;Sony Pictures Entertainment ;127;Marvel;Spider-Man;93;Male;2004;788976453;200000000;Success
Catwoman;23/07/2004;40202379;42200000;82402379;100000000;FAUX;Warner Bros.;104;DC;Batman;8;Female;2004;132917604;161303115;Flop
Blade: Trinity;08/12/2004;52411906;79565998;131977904;65000000;FAUX;New Line Cinema;113;Marvel;Blade;24;Male;2004;131977904;65000000;Flop
Elektra;14/01/2005;24409722;32585924;56995646;43000000;FAUX;Twentieth Century Fox;97;Marvel;Daredevil;11;Female;2005;56995646;43000000;Flop
Constantine;18/02/2005;75976178;154908550;230884728;100000000;FAUX;Warner Bros.;121;DC;Constantine;46;Male;2005;360219878;156017196;Flop
Batman Begins;15/06/2005;206863479;168435467;375298946;150000000;FAUX;Warner Bros.;140;DC;Batman;85;Male;2005;585530891;234025794;Success
Fantastic Four;08/07/2005;154696080;178839854;333535934;100000000;FAUX;Twentieth Century Fox;106;Marvel;Fantastic Four;28;Male;2005;333535934;100000000;Success
X-Men: The Last Stand;26/05/2006;234362462;226072829;460435291;210000000;FAUX;Twentieth Century Fox;104;Marvel;X-Men;57;Male;2006;460435291;210000000;Flop
Superman Returns;28/06/2006;200081192;191000000;391081192;270000000;FAUX;Warner Bros.;154;DC;Superman;74;Male;2006;591086599;408082478;Flop
Ghost Rider;16/02/2007;115802596;112935797;228738393;110000000;FAUX;Sony Pictures Entertainment ;110;Marvel;Ghost Rider;27;Male;2007;228738393;110000000;Flop
Spider-Man 3;01/05/2007;336530303;558453070;894983373;258000000;FAUX;Sony Pictures Entertainment ;139;Marvel;Spider-Man;63;Male;2007;894983373;258000000;Success
Fantastic Four: Rise of the Silver Surfer;15/06/2007;131921738;169991393;301913131;130000000;FAUX;Twentieth Century Fox;92;Marvel;Fantastic Four;38;Male;2007;301913131;130000000;Flop
Iron Man;02/05/2008;319034126;266762121;585796247;140000000;VRAI;Paramount Pictures;126;Marvel;Iron Man;94;Male;2008;585796247;140000000;Success
The Incredible Hulk;13/06/2008;134806913;129964083;264770996;150000000;VRAI;Universal Pictures;112;Marvel;Hulk;67;Male;2008;264770996;150000000;Flop
The Dark Knight;18/07/2008;534987076;472349861;1007336937;185000000;FAUX;Warner Bros.;152;DC;Batman;94;Male;2008;1425605587;261816105;Success
Punisher: War Zone;05/12/2008;8050977;2110516;10161493;35000000;FAUX;Lions Gate Films;103;Marvel;Punisher;29;Male;2008;10161493;35000000;Flop
Watchmen;06/03/2009;107509799;77873014;185382813;130000000;FAUX;Warner Bros.;162;DC;Watchmen;65;Male;2009;263294614;184635778;Flop
X-Men Origins: Wolverine;01/05/2009;179883157;193179707;373062864;150000000;FAUX;Twentieth Century Fox;107;Marvel;X-Men;38;Male;2009;373062864;150000000;Flop
Iron Man 2;07/05/2010;312433331;311500000;623933331;200000000;VRAI;Paramount Pictures;124;Marvel;Iron Man;72;Male;2010;623933331;200000000;Success
Jonah Hex;18/06/2010;10547117;356195;10903312;47000000;FAUX;Warner Bros.;81;DC;Jonah Hex;12;Male;2010;15235795;65675672;Flop
Thor;06/05/2011;181030624;268295994;449326618;150000000;VRAI;Paramount Pictures;115;Marvel;Thor;77;Male;2011;449326618;150000000;Success
